;co2;nuc;lig;coal;gas;oil;waste
t0001;7.8;3;4;12.3;31.6;52.6;0
t0002;7.8;3;4;12.3;31.6;52.6;0
t0003;7.8;3;4;12.3;31.6;52.6;0
t0004;7.8;3;4;12.3;31.6;52.6;0
t0005;7.8;3;4;12.3;31.6;52.6;0
t0006;7.8;3;4;12.3;31.6;52.6;0
t0007;7.8;3;4;12.3;31.6;52.6;0
t0008;7.8;3;4;12.3;31.6;52.6;0
t0009;7.8;3;4;12.3;31.6;52.6;0
t0010;7.8;3;4;12.3;31.6;52.6;0
t0011;7.8;3;4;12.3;31.6;52.6;0
t0012;7.8;3;4;12.3;31.6;52.6;0
t0013;7.8;3;4;12.3;31.6;52.6;0
t0014;7.8;3;4;12.3;31.6;52.6;0
t0015;7.8;3;4;12.3;31.6;52.6;0
t0016;7.8;3;4;12.3;31.6;52.6;0
t0017;7.8;3;4;12.3;31.6;52.6;0
t0018;7.8;3;4;12.3;31.6;52.6;0
t0019;7.8;3;4;12.3;31.6;52.6;0
t0020;7.8;3;4;12.3;31.6;52.6;0
t0021;7.8;3;4;12.3;31.6;52.6;0
t0022;7.8;3;4;12.3;31.6;52.6;0
t0023;7.8;3;4;12.3;31.6;52.6;0
t0024;7.8;3;4;12.3;31.6;52.6;0
