;dena20;dena21;dena22;dena23;dena24;dena25;dena26;dena41;dena42;dena71;dena72;dena73;dena74;dena75;dena76;dena80;dena81;dena82;dena83;dena84;dena91;dena92;dena93;dena94;dena95;dena96;dena97;dena98;dena99;dena100;dena101;dena102;dena103;dena104;dena105;dena106;dena107;dena108;dena109;dena110;dena111;dena112
t0001;0.459705296511628;0.142125703462274;0.142125703462274;0.142125703462274;0.33930050656734;0.349477615631053;0.349477615631053;0.349477615631053;0.349477615631053;0.33930050656734;0.33930050656734;0.33930050656734;0.33930050656734;0.33930050656734;0.349477615631053;0.074820134902357;0.120033227394417;0.142125703462274;0.120033227394417;0.120033227394417;0.33930050656734;0.349477615631053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0002;0.486249959302326;0.163910349102206;0.163910349102206;0.163910349102206;0.340620742001454;0.246575873250798;0.246575873250798;0.246575873250798;0.246575873250798;0.340620742001454;0.340620742001454;0.340620742001454;0.340620742001454;0.340620742001454;0.246575873250798;0.079938555768491;0.128244661075026;0.163910349102206;0.128244661075026;0.128244661075026;0.340620742001454;0.246575873250798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0003;0.48504338372093;0.211301508038197;0.211301508038197;0.211301508038197;0.36311975419115;0.196095773215202;0.196095773215202;0.196095773215202;0.196095773215202;0.36311975419115;0.36311975419115;0.36311975419115;0.36311975419115;0.36311975419115;0.196095773215202;0.078791323505392;0.126404167319028;0.211301508038197;0.126404167319028;0.126404167319028;0.36311975419115;0.196095773215202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0004;0.48504338372093;0.265715348792325;0.265715348792325;0.265715348792325;0.361414450088752;0.260166669414228;0.260166669414228;0.260166669414228;0.260166669414228;0.361414450088752;0.361414450088752;0.361414450088752;0.361414450088752;0.361414450088752;0.260166669414228;0.084498068609012;0.135559443951431;0.265715348792325;0.135559443951431;0.135559443951431;0.361414450088752;0.260166669414228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0005;0.463325023255814;0.292970042515091;0.292970042515091;0.292970042515091;0.376267098722536;0.324237565613255;0.324237565613255;0.324237565613255;0.324237565613255;0.376267098722536;0.376267098722536;0.376267098722536;0.376267098722536;0.376267098722536;0.324237565613255;0.100471071656773;0.161184780092641;0.292970042515091;0.161184780092641;0.161184780092641;0.376267098722536;0.324237565613255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0006;0.463325023255814;0.327247418055992;0.327247418055992;0.327247418055992;0.435347634399145;0.300939057904518;0.300939057904518;0.300939057904518;0.300939057904518;0.435347634399145;0.435347634399145;0.435347634399145;0.435347634399145;0.435347634399145;0.300939057904518;0.101309433695191;0.162529756298948;0.327247418055992;0.162529756298948;0.162529756298948;0.435347634399145;0.300939057904518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0007;0.463325023255814;0.369909015767525;0.369909015767525;0.369909015767525;0.443104017574566;0.267932838650474;0.267932838650474;0.267932838650474;0.267932838650474;0.443104017574566;0.443104017574566;0.443104017574566;0.443104017574566;0.443104017574566;0.267932838650474;0.115693961301738;0.185606716470314;0.369909015767525;0.185606716470314;0.185606716470314;0.443104017574566;0.267932838650474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0008;0.463325023255814;0.383428872601079;0.383428872601079;0.383428872601079;0.479685541061479;0.312588311758886;0.312588311758886;0.312588311758886;0.312588311758886;0.479685541061479;0.479685541061479;0.479685541061479;0.479685541061479;0.479685541061479;0.312588311758886;0.131564007607939;0.211066880094961;0.383428872601079;0.211066880094961;0.211066880094961;0.479685541061479;0.312588311758886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0009;0.463325023255814;0.41054024628674;0.41054024628674;0.41054024628674;0.513681603489919;0.314529854067948;0.314529854067948;0.314529854067948;0.314529854067948;0.513681603489919;0.513681603489919;0.513681603489919;0.513681603489919;0.513681603489919;0.314529854067948;0.16367180286877;0.262577109189125;0.41054024628674;0.262577109189125;0.262577109189125;0.513681603489919;0.314529854067948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0010;0.48504338372093;0.433853638989123;0.433853638989123;0.433853638989123;0.503064710207251;0.427139307993509;0.427139307993509;0.427139307993509;0.427139307993509;0.503064710207251;0.503064710207251;0.503064710207251;0.503064710207251;0.503064710207251;0.427139307993509;0.204280883361282;0.327725868936714;0.433853638989123;0.327725868936714;0.327725868936714;0.503064710207251;0.427139307993509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0011;0.487456534883721;0.441998994431246;0.441998994431246;0.441998994431246;0.446954704257399;0.425197765684448;0.425197765684448;0.425197765684448;0.425197765684448;0.446954704257399;0.446954704257399;0.446954704257399;0.446954704257399;0.446954704257399;0.425197765684448;0.223313172443973;0.358259188427254;0.441998994431246;0.358259188427254;0.358259188427254;0.446954704257399;0.425197765684448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0012;0.48504338372093;0.411471826527921;0.411471826527921;0.411471826527921;0.42187023100923;0.298997515595456;0.298997515595456;0.298997515595456;0.298997515595456;0.42187023100923;0.42187023100923;0.42187023100923;0.42187023100923;0.42187023100923;0.298997515595456;0.234094214095915;0.375555110518881;0.411471826527921;0.375555110518881;0.375555110518881;0.42187023100923;0.298997515595456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0013;0.481423656976744;0.367711441865251;0.367711441865251;0.367711441865251;0.377752363585915;0.322296023304193;0.322296023304193;0.322296023304193;0.322296023304193;0.377752363585915;0.377752363585915;0.377752363585915;0.377752363585915;0.377752363585915;0.322296023304193;0.210134709524273;0.337117106307066;0.367711441865251;0.337117106307066;0.337117106307066;0.377752363585915;0.322296023304193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0014;0.480217081395349;0.325861991030645;0.325861991030645;0.325861991030645;0.369060813644663;0.341711446394807;0.341711446394807;0.341711446394807;0.341711446394807;0.369060813644663;0.369060813644663;0.369060813644663;0.369060813644663;0.369060813644663;0.341711446394807;0.199662538097012;0.32031670176513;0.325861991030645;0.32031670176513;0.32031670176513;0.369060813644663;0.341711446394807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0015;0.476597354651163;0.2887898747662;0.2887898747662;0.2887898747662;0.333304437304071;0.26210821172329;0.26210821172329;0.26210821172329;0.26210821172329;0.333304437304071;0.333304437304071;0.333304437304071;0.333304437304071;0.333304437304071;0.26210821172329;0.189116826140065;0.303398316854221;0.2887898747662;0.303398316854221;0.303398316854221;0.333304437304071;0.26210821172329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
