nodeno;cou;sta;dena;z6;share_L;share_h;ror;pv;on;off;bio;geo;Lat;Long;Lat, Long war in ELMOD-DE vertauscht;dena
n001;DK;DK;dena95;DK;0;0;0;0;0;0;0;0;55.037;9.269;0;95
n002;DK;DK;dena95;DK;0;0;0;0;0;0;0;0;54.94;9.39;0;95
n003;DE;DE_SH;dena21;DE_NW;0.001;0.001;0;196;518;0;49;0;54.716;9.317;0;21
n004;DE;DE_SH;dena21;DE_NW;0.001;0.001;0;31;37;0;19;0;54.349;10.061;0;21
n005;DE;DE_SH;dena21;DE_NW;0.002;0.002;0;12;20;0;3;0;54.34;10.177;0;21
n006;DE;DE_SH;dena21;DE_NW;0.002;0.002;0;290;624;0;105;0;54.29;9.725;0;21
n007;DE;DE_MV;dena81;DE_NE;0.001;0.001;0;66;146;0;14;0;54.285;13.079;0;81
n008;DE;DE_SH;dena21;DE_NW;0.001;0.002;2;38;27;0;23;0;54.276;10.156;0;21
n009;DE;DE_MV;dena81;DE_NE;0.002;0.002;0;35;46;48;7;0;54.141;12.13;0;81
n010;DE;DE_MV;dena81;DE_NE;0.001;0.001;0;43;178;0;20;0;54.139;13.685;0;81
n011;DE;DE_MV;dena81;DE_NE;0.001;0.001;0;11;100;0;3;0;54.112;12.213;0;81
n012;DE;DE_MV;dena81;DE_NE;0.001;0.001;0;14;69;0;3;0;54.1;12.214;0;81
n013;DE;DE_SH;dena21;DE_NW;0.001;0.001;0;111;313;0;27;0;53.968;9.449;0;21
n014;DE;DE_SH;dena21;DE_NW;0.001;0.001;0;12;86;0;3;0;53.922;9.345;0;21
n015;DE;DE_SH;dena21;DE_NW;0.001;0.001;0;19;133;0;14;0;53.919;10.641;0;21
n016;DE;DE_SH;dena21;DE_NW;0.001;0.001;0;8;63;0;3;0;53.909;10.761;0;21
n017;DE;DE_MV;dena81;DE_NE;0.001;0.001;0;188;311;0;53;0;53.908;13.143;0;81
n018;DE;DE_SH;dena21;DE_NW;0.001;0.001;2;32;130;0;12;0;53.896;10.802;0;21
n019;DE;DE_SH;dena21;DE_NW;0.001;0.001;0;312;1266;0;43;0;53.895;9.202;0;21
n020;DE;DE_SH;dena21;DE_NW;0.001;0.001;0;7;82;0;1;0;53.852;9.344;0;21
n021;DE;DE_MV;dena81;DE_NE;0.001;0.001;0;129;127;0;24;0;53.816;12.187;0;81
n022;DE;DE_MV;dena81;DE_NE;0.001;0.001;0;84;364;0;123;0;53.794;13.4;0;81
n023;DE;DE_SH;dena82;DE_NW;0.005;0.006;0;50;209;0;33;0;53.766;9.988;0;82
n024;DE;DE_SH;dena82;DE_NW;0.004;0.005;0;9;0;0;1;0;53.741;9.984;0;82
n025;DE;DE_SH;dena82;DE_NW;0.004;0.004;0;29;8;0;5;0;53.691;9.776;0;82
n026;DE;DE_NI;dena22;DE_NW;0.001;0.001;0;11;65;0;1;0;53.658;9.491;0;22
n027;DE;DE_NI;dena22;DE_NW;0.003;0.003;0;5;17;0;1;0;53.637;9.487;0;22
n028;DE;DE_NI;dena22;DE_NW;0.003;0.003;0;4;0;0;3;0;53.619;9.53;0;22
n029;DE;DE_NI;dena22;DE_NW;0.001;0.002;0;55;260;0;18;0;53.606;8.086;0;22
n030;DE;DE_MV;dena81;DE_NE;0.001;0.001;2;126;204;0;88;0;53.601;11.37;0;81
n031;DE;DE_MV;dena81;DE_NE;0.001;0.001;1;43;198;0;26;0;53.572;11.699;0;81
n032;DE;DE_NI;dena22;DE_NW;0.001;0.002;0;68;316;0;41;0;53.566;9.069;0;22
n033;DE;DE_NI;dena22;DE_NW;0.001;0.002;0;10;32;0;1;0;53.561;8.122;0;22
n034;DE;DE_HH;dena82;DE_NW;0.005;0.005;0;38;117;0;39;0;53.555;10.158;0;82
n035;DE;DE_NI;dena22;DE_NW;0.003;0.003;0;38;227;0;25;0;53.543;9.502;0;22
n036;DE;DE_BB;dena81;DE_NE;0.001;0.001;0;42;290;0;12;0;53.508;14.034;0;81
n037;DE;DE_HH;dena82;DE_NW;0.005;0.006;0;43;150;0;48;0;53.488;9.909;0;82
n038;DE;DE_NI;dena22;DE_NW;0.002;0.002;0;50;411;0;24;0;53.429;8.475;0;22
n039;DE;DE_NI;dena82;DE_NW;0.004;0.004;0;78;125;0;24;0;53.413;10.413;0;82
n040;DE;DE_NI;dena22;DE_NW;0.001;0.001;20;98;632;0;21;0;53.35;7.224;0;22
n041;DE;DE_NI;dena22;DE_NW;0.001;0.001;0;17;221;0;2;0;53.342;7.207;0;22
n042;DE;DE_NI;dena22;DE_NW;0.002;0.002;1;137;221;0;28;0;53.333;8.053;0;22
n043;DE;DE_BB;dena81;DE_NE;0.001;0.001;0;52;496;0;20;0;53.252;13.957;0;81
n044;DE;DE_BB;dena81;DE_NE;0.001;0.001;0;209;706;0;65;0;53.251;12.088;0;81
n045;DE;DE_NI;dena22;DE_NW;0;0;0;0;0;0;0;0;53.235;8.406;0;22
n046;DE;DE_NI;dena23;DE_NW;0.003;0.003;0;24;106;0;16;0;53.22;10.379;0;23
n047;DE;DE_NI;dena22;DE_NW;0.002;0.002;0;10;33;0;3;0;53.203;8.519;0;22
n048;PL;PL;dena98;PL;0;0;0;0;0;0;0;0;53.191;14.478;0;98
n049;DE;DE_NI;dena22;DE_NW;0.002;0.002;0;37;93;0;8;0;53.19;8.409;0;22
n050;DE;DE_NI;dena22;DE_NW;0.001;0.002;0;138;220;340;53;0;53.126;7.312;0;22
n051;NL;NL;dena97;NL;0;0;0;0;0;0;0;0;53.124;6.953;0;97
n052;DE;DE_NI;dena22;DE_NW;0.001;0.002;0;65;194;0;79;0;53.114;9.25;0;22
n053;DE;DE_HB;dena22;DE_NW;0.003;0.004;0;58;75;0;9;0;53.107;8.82;0;22
n054;DE;DE_BB;dena81;DE_NE;0.001;0.001;0;137;278;0;40;0;53.096;14.271;0;81
n055;DE;DE_NI;dena22;DE_NW;0.003;0.003;0;30;90;0;9;0;53.093;8.696;0;22
n056;DE;DE_BB;dena81;DE_NE;0.001;0.001;0;75;291;0;21;0;53.086;11.853;0;81
n057;DE;DE_NI;dena22;DE_NW;0.002;0.003;0;56;166;0;33;0;53.032;8.564;0;22
n058;DE;DE_NI;dena22;DE_NW;0.001;0.001;0;50;179;0;16;0;53.026;7.254;0;22
n059;DE;DE_NI;dena23;DE_NW;0.002;0.002;0;70;225;0;65;0;52.993;10.383;0;23
n060;DE;DE_NI;dena22;DE_NW;0.001;0.001;0;74;206;0;40;0;52.87;7.195;0;22
n061;DE;DE_NI;dena22;DE_NW;0.002;0.002;0;381;304;0;114;0;52.858;8.083;0;22
n062;DE;DE_NI;dena23;DE_NW;0.002;0.002;6;49;226;0;18;0;52.853;9.145;0;23
n063;DE;DE_NI;dena22;DE_NW;0.001;0.002;0;121;140;0;31;0;52.753;7.277;0;22
n064;DE;DE_BE;dena81;DE_NE;0.003;0.004;0;56;139;0;17;0;52.657;13.206;0;81
n065;DE;DE_NI;dena71;DE_NW;0.002;0.002;0;197;228;0;41;0;52.609;8.403;0;71
n066;DE;DE_BE;dena81;DE_NE;0.004;0.005;0;26;34;0;13;0;52.59;13.494;0;81
n067;DE;DE_BE;dena81;DE_NE;0.003;0.004;0;29;0;0;1;0;52.581;13.211;0;81
n068;DE;DE_ST;dena81;DE_NE;0.002;0.002;0;102;611;0;130;0;52.569;11.727;0;81
n069;DE;DE_BB;dena81;DE_NE;0.001;0.002;0;125;356;0;18;0;52.562;12.941;0;81
n070;DE;DE_BB;dena81;DE_NE;0.003;0.003;0;444;451;0;38;0;52.54;13.71;0;81
n071;DE;DE_NI;dena23;DE_NW;0.002;0.003;25;51;193;0;18;0;52.538;9.125;0;23
