conno;cou;nodeno;sta;dena;z6;tech;fuel;cap;eff;co2;coal;BnetzA;Plantname;0;dena
p001;DE;n377;DE_BW;dena42;DE_SW;coal;coal;336;0.42;0.86;4.12;BNA0019;Heizkraftwerk Altbach/Deizisau;0;42
p002;DE;n377;DE_BW;dena42;DE_SW;coal;coal;433;0.39;0.93;4.44;BNA0020;Heizkraftwerk Altbach/Deizisau;0;42
p003;DE;n133;DE_NRW;dena73;DE_WE;coal;coal;717;0.38;0.95;3.04;BNA0067;Bergkamen;0;73
p004;DE;n073;DE_BE;dena81;DE_NE;coal;coal;282;0.39;0.92;1.46;BNA0086;Reuter West;0;81
p005;DE;n073;DE_BE;dena81;DE_NE;coal;coal;282;0.4;0.91;1.45;BNA0087;Reuter West;0;81
p006;DE;n334;DE_SL;dena75;DE_SW;coal;coal;721;0.38;0.94;4.5;BNA0093;Kraftwerk Bexbach;0;75
p007;DE;n214;DE_SN;dena84;DE_EA;lig;lig;875;0.4;1;0;BNA0115;Lippendorf;0;84
p008;DE;n214;DE_SN;dena84;DE_EA;lig;lig;875;0.4;1.01;0;BNA0116;Braunkohlekraftwerk Lippendorf;0;84
p009;DE;n184;DE_SN;dena84;DE_EA;lig;lig;465;0.35;1.14;0;BNA0122;Boxberg;0;84
p010;DE;n184;DE_SN;dena84;DE_EA;lig;lig;465;0.35;1.14;0;BNA0123;Boxberg;0;84
p011;DE;n184;DE_SN;dena84;DE_EA;lig;lig;857;0.4;1;0;BNA0124;Boxberg;0;84
p012;DE;n047;DE_NI;dena22;DE_NW;coal;coal;350;0.35;1.04;0.83;BNA0147;Farge;0;22
p013;DE;n020;DE_SH;dena21;DE_NW;nuc;nuc;1410;0.33;0;0;BNA0157;Brokdorf;0;21
p014;DE;n019;DE_SH;dena21;DE_NW;oil;oil;67;0.31;0.85;0;BNA0161;Brunsbüttel;0;21
p015;DE;n019;DE_SH;dena21;DE_NW;oil;oil;67;0.31;0.85;0;BNA0162;Brunsbüttel;0;21
p016;DE;n019;DE_SH;dena21;DE_NW;oil;oil;67;0.31;0.85;0;BNA0163;Brunsbüttel;0;21
p017;DE;n019;DE_SH;dena21;DE_NW;oil;oil;67;0.31;0.85;0;BNA0164;Brunsbüttel;0;21
p018;DE;n152;DE_NRW;dena72;DE_WE;coal;coal;345;0.35;1.02;3.26;BNA0203;Knepper;0;72
p019;DE;n162;DE_NRW;dena72;DE_WE;coal;coal;370;0.4;0.91;2.9;BNA0216;KW Walsum;0;72
